Aroma,Notas de salida,Notas de Corazón,Notas de Fondo,Precios 150 ML,Precios 250 ML,Precios 500 ML,Precios 1L
Aura,"Durazno, pera jugosa","Magnolia, flor de loto","Vainilla, almizcle blanco",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Blossom,"Frutas, cereza dulce",Flores rosadas,"Almizcle, azucar floral",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Canelita,"Canela cálida, clavo de olor","Nuez moscada, jengibre suave","Azúcar morena, vainilla",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Carmesí,"Grosella negra, frutos del bosque","Peonía, flor de cerezo","Ámbar rojo, musk sensual",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Citrus Bloom,"Limón, hierbas aromáticas","Flores silvestres, hoja verde","Almizcle, madera clara",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Citrus bloom,"Limón, hierbas aromáticas","corazón: Flores silvestres, hoja verde","Almizcle, madera clara",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Classic Blue,"Limón siciliano, mandarina","Cedro virgeniano, vetiver","Madera seca, almizcle",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Coco Zen,"Coco cremoso, almendra tostada","Leche de vainilla, heliotropo","Sándalo, azúcar de coco",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Cookie Forest,"Caramelo cremoso, azúcar","Galleta de vainilla, nuez","Madera dulce, leche caliente",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Corteza,"Frutas acuáticas, ozono limpio","Notas marinas, pomelo rosado","Vetiver, madera flotante",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Dark Motion,"Cuero negro, pimienta rosa","Madera ahumada, incienso","Ámbar oscuro, pachuli intenso",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Delicia,"Pera fresca, manzana verde","Flor blanca, hojas verdes","Ámbar suave, almizcle",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Dream Love,"Cedro rosado, flor de naranjo","Almizcle, rosa antigua","Bois de rose, ámbar cálido",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Dulce Estación,"Durazno maduro, frutos rojos","Crema batida, flor de vainilla","Madera suave, almizcle",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Floral Breeze,"Lirio del valle, mandarina","Rosa silvestre, gardenia","Almizcle, madera de ámbar",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Floral Breeze,"Lirio del valle, mandarina","Rosa silvestre, gardenia","Almizcle, madera de ámbar",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Fresh,Brisa marina,"Madera clara, hoja fresca","Ambar ligero, almizcle",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Glamour,"Cereza negra, pimienta rosa","Violeta, flor de naranjo","Vainilla intensa, pachulí",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Golden ,"Cítricos, flor de azahar","Jazmín, lirio del valle","Almizcle blanco, ámbar dorado",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Honey,"Néctar, flores, miel dorada",Flores suaves,"Vainilla tibia, madera dulce",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Lavanda francesa,"Lavanda de Provenza, limón","Romero, eucalipto","Cedro, almizcle",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Macchiato,"Espresso, cacao tostado","Crema dulce, caramelo","Madera, vainilla oscura",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Mango Tropical,"Mango jugoso, maracuyá","Flor de hibisco, peonía rosada","Almizcle, vainilla ligera",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Matcha,"Té verde, lima","Hoja de menta, bambú","Almizcle suave, ámbar claro",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Moca,"Espresso, cacao amargo","Avellana, caramelo","Vainilla oscura, madera tostada",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Moonlight,"Vainilla cremosa, coco suave","Leche de almendra, caramelo","Madera dulce, almizcle cálido",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Pasión,"Frutas rojas, mandarina","Jazmín, rosa intensa","Almizcle sensual, ámbar",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Passion Sour,"Maracuyá, lima","Mango verde, flor de azahar","Almizcle, azúcar de caña",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Peonia,"Pera jugosa, pino siberiano","Peonía, magnolia, muguet","Cedarwood, vetiver",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Pink Glow,"Sandía fresca, lima dulce","Rosa blanca, jazmín acuático","Almizcle rosa, acorde afrutado",S/.90.00,S/.125.00,S/.229.00,S/.439.00
